fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
148;62263900140051_2215594.txt;62263900140051;2215594.7624330954;469;469;0;527486.0078701235;9224073.350164697;2112.5576915199263;OK;
149;62263900140011_2214811.txt;62263900140011;2214811.485995513;544;544;0;528256.0078701235;9224783.350164697;3296.846978553903;OK;
150;62263900130921_2213605.txt;62263900130921;2213605.0746027716;689;689;0;529436.0078701235;9223673.350164697;3178.238505839359;OK;
151;62263900130891_2212990.txt;62263900130891;2212990.0641694455;839;839;0;531676.0078701235;9220733.350164697;6299.182486640628;OK;
152;62263900130851_2212161.txt;62263900130851;2212161.252164833;671;671;0;532526.0078701235;9222853.350164697;4761.774879181081;OK;
153;62263900130821_2211587.txt;62263900130821;2211587.097814804;636;636;0;533046.0078701235;9223683.350164697;4491.380634058975;OK;
154;62263900130781_2210778.txt;62263900130781;2210778.332524029;536;536;0;533436.0078701235;9224643.350164697;3780.423256726686;OK;
155;62263900130751_2210181.txt;62263900130751;2210181.7818222777;483;483;0;533666.0078701235;9225193.350164697;3412.4771061503106;OK;
156;62263900130671_2208567.txt;62263900130671;2208567.5438633296;404;404;0;534356.0078701235;9226433.350164697;2918.3043021590465;OK;
157;62263900130571_2206552.txt;62263900130571;2206552.43749627;316;316;0;535366.0078701235;9228123.350164697;2283.2652057962955;OK;
158;62263900130311_2201353.txt;62263900130311;2201353.852559511;249;249;0;538176.0078701235;9232323.350164697;1809.6684779262748;OK;
159;62263900130071_2196532.txt;62263900130071;2196532.8931483286;207;207;0;539436.0078701235;9237583.350164697;1897.6301009416982;OK;
160;62263900120781_2191310.txt;62263900120781;2191310.8067770475;213;213;0;538736.0078701235;9242423.350164697;1683.4488409215173;OK;
161;62263900120551_2186695.txt;62263900120551;2186695.87558938;284;284;0;541046.0078701235;9246143.350164697;2089.4257584322063;OK;
162;62263900120291_2181495.txt;62263900120291;2181495.631624251;282;282;0;544696.0078701235;9248193.350164697;2144.78437144623;OK;
163;62263900120041_2176455.txt;62263900120041;2176455.488910067;391;391;0;549046.0078701235;9250693.350164697;2872.368360778262;OK;
164;62263900110341_2171508.txt;62263900110341;2171508.507510417;213;213;0;553096.0078701235;9253013.350164697;1708.3617883809038;OK;
165;62263900110041_2165553.txt;62263900110041;2165553.6827824973;268;268;0;559036.0078701235;9252263.350164697;1890.952141118331;OK;
166;62263900100451_2162975.txt;62263900100451;2162975.1455687364;332;332;0;560926.0078701235;9250763.350164697;1558.621185535472;OK;
167;62263900100391_2161769.txt;62263900100391;2161769.530573443;429;429;0;562186.0078701235;9250683.350164697;2051.974658712919;OK;
168;62263900100281_2159550.txt;62263900100281;2159550.785291916;637;637;0;564266.0078701235;9251503.350164697;4169.652263678591;OK;
169;62263900100221_2158329.txt;62263900100221;2158329.226533878;678;678;0;565326.0078701235;9247243.350164697;5869.659274608706;OK;
170;62263900100161_2157108.txt;62263900100161;2157108.894490265;417;417;0;567366.0078701235;9250203.350164697;3090.404504268009;OK;
